Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2015-0334-CHN,2015,0334,Natural,Meteorological,Storm,Convective storm,Severe storm,,Affected,China,CHN,Eastern Asia,Asia,"Gansu Sheng, Hebei Sheng, Henan Sheng, Nei Mongol Zizhiqu, Hubei Sheng, Shaanxi Sheng provinces",,Lightening,,,,,,,Kph,,,,,2015,7,13,2015,7,14,6,,110000,,110000,,,85000,92.70882199
2015-0127-IRN,2015,0127,Natural,Hydrological,Flood,Flash flood,,,Affected,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Hormozgan, Kerman, Sistan-o baluchestan provinces",,Lightening,,,,,,,Km2,,,,,2015,3,11,2015,3,15,3,,2700,,2700,,,60000,92.70882199
2015-0383-BOL,2015,0383,Natural,Hydrological,Flood,,,,Affected,Bolivia (Plurinational State of),BOL,South America,Americas,"Cobija city (Nicolas Suarez district, Pando province)",Monsoonal rain,,,,,,,,Km2,-11.5042,-65.84,,"Tahuamanu, Acre rivers",2015,2,20,2015,2,24,,,4000,,4000,,,,92.70882199
2015-0156-BRA,2015,0156,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Affected,Brazil,BRA,South America,Americas,Xanxere (Santa Catarina),,,,,,,,320,Kph,,,,,2015,4,20,2015,4,20,2,97,10940,,11037,,,2000,92.70882199
2015-0489-BRA,2015,0489,Natural,Hydrological,Flood,Riverine flood,,,Affected,Brazil,BRA,South America,Americas,"Santa Catarina, Rio Grande do Sul provinces",El Nino,,,,,Yes,,,Km2,,,,"Guaiba, Itajai do Sul rivers",2015,10,8,2015,10,20,3,,5370,,5370,,,2000,92.70882199
2015-0551-BRA,2015,0551,Natural,Hydrological,Flood,Riverine flood,,,Affected,Brazil,BRA,South America,Americas,Rio Grande do Sul province,El Nino,,,,,,,,Km2,,,,"Uruguay, Quarai rivers",2015,12,20,2015,12,26,,,9000,,9000,,,,92.70882199
2015-0157-BRA,2015,0157,Natural,Hydrological,Landslide,Landslide,,,Kill,Brazil,BRA,South America,Americas,"Salvador city (Salvador district, Bahia state)",Rainfall,,,,,,,,,,,,,2015,4,27,2015,4,27,15,,,,,,,,92.70882199
2015-0208-BRA,2015,0208,Natural,Hydrological,Flood,,,,Affected,Brazil,BRA,South America,Americas,Amazonas state; Boca do Acre (Punus region),Heavy rains,,,,No,No,,450353,Km2,-6.97805,-67.8,,,2015,4,1,2015,5,2,5,,1000,,1000,,,,92.70882199
2015-9307-BWA,2015,9307,Natural,Climatological,Drought,Drought,,,Declar,Botswana,BWA,Southern Africa,Africa,All country,"Lack of rain, heat wave",,,,,Yes,,,Km2,,,,,2015,7,,2015,12,,,,,,,,,44000,92.70882199
2015-0275-CAN,2015,0275,Natural,Climatological,Wildfire,Forest fire,,,Waiting,Canada,CAN,Northern America,Americas,"Saskatchewan, Alberta, British Columbia provinces","Hot, dry and windy conditions",,,,,,,,Km2,,,,,2015,7,1,2015,7,10,,,13000,36,13036,,,,92.70882199
2015-0142-CHL,2015,0142,Natural,Geophysical,Volcanic activity,Ash fall,,Calbuco,Affected,Chile,CHL,South America,Americas,"Ensenada town (Llanquihue district, Los Lagos province)",,,,,,,,,,,,,,2015,4,24,2015,4,30,,,4000,,4000,,,600000,92.70882199
2015-0143-CHL,2015,0143,Natural,Geophysical,Volcanic activity,Ash fall,,Villarrica,Affected,Chile,CHL,South America,Americas,"Vallarica, Pucon, Cararrehue municipalities, Temuco town (Cautin district, Araucania province), Conaripe municipality (Valdivia district, Los Rios province)",,,,,,,,,,,,,,2015,3,,2015,3,,,,3600,,3600,,,,92.70882199
2015-0092-CHL,2015,0092,Natural,Climatological,Wildfire,Forest fire,,,SigDis,Chile,CHL,South America,Americas,Valparaiso province,High temperatures and wind,,,,,,,,Km2,,,,,2015,3,13,2015,3,21,1,32,,,32,,,,92.70882199
2015-0204-CHL,2015,0204,Natural,Hydrological,Flood,,,,Affected,Chile,CHL,South America,Americas,"Aisen, Araucania, Los Rios, Los Lagos provinces",Heavy rains,,,,,,,224189,Km2,-44.1033,-72.92,,,2015,5,17,2015,5,21,,16,100,,116,,,,92.70882199
2015-0534-CHN,2015,0534,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Affected,China,CHN,Eastern Asia,Asia,"Nei Mongol Zizhiqu, Beijing Shi, Tianjin Shi provinces",,,,,,,,,Kph,,,,,2015,11,22,2015,11,25,4,,3000,,3000,,,,92.70882199
2015-0160-CHN,2015,0160,Natural,Meteorological,Storm,Convective storm,Severe storm,,Affected,China,CHN,Eastern Asia,Asia,Sichuan Sheng province,,,,,,,,139,Kph,,,,,2015,4,4,2015,4,5,7,37,,2500,2537,,,20000,92.70882199
2015-0491-CHN,2015,0491,Natural,Meteorological,Storm,Convective storm,Severe storm,,Kill,China,CHN,Eastern Asia,Asia,Yunnan Sheng province,,,,,,,,,Kph,,,,,2015,10,6,2015,10,11,14,,14700,900,15600,,,43000,92.70882199
2015-0078-CHN,2015,0078,Natural,Geophysical,Earthquake,Ground movement,,,Affected,China,CHN,Eastern Asia,Asia,"Shawan area (Tacheng district, Xinjiang Uygur Zizhiqu province)",,,,,,,,5,Richter,44.133,85.568,null:null,,2015,2,22,2015,2,22,,,8640,,8640,,,14650,92.70882199
2015-0125-CHN,2015,0125,Natural,Geophysical,Earthquake,Ground movement,,,Affected,China,CHN,Eastern Asia,Asia,"Zhenkang Xian, Cangyuan Wa Zizhixian, Gengma Dai-Wa Zizhixian areas (Lincang district, Yunnan Sheng province)",,,,,,,,5,Richter,23.566,98.854,18:25,,2015,3,1,2015,3,1,,32,,2000,2032,,,15000,92.70882199
2015-0144-CHN,2015,0144,Natural,Geophysical,Earthquake,Ground movement,,,Kill,China,CHN,Eastern Asia,Asia,Shigatse district (Xizang Zizhiqu province),,,,,,,,8,Richter,28.2305,84.7314,,,2015,4,25,2015,4,25,29,383,200000,7500,207883,,,,92.70882199
2015-0175-CHN,2015,0175,Natural,Geophysical,Earthquake,Ground movement,,,Kill,China,CHN,Eastern Asia,Asia,Shigatse district (Xizang Zizhiqu province),,,,,,,,7,Richter,27.8087,86.0655,12:50,,2015,5,12,2015,5,12,1,,,,,,,,92.70882199
2015-0271-CHN,2015,0271,Natural,Geophysical,Earthquake,Ground movement,,,Waiting,China,CHN,Eastern Asia,Asia,"Xilkiqi village (Pishan area, Khotan district, Xinjiang Uygur Zizhiqu province)",,,,,,,,6,Richter,37.4593,78.1542,09:07,,2015,7,3,2015,7,3,3,263,,9000,9263,,,3200,92.70882199
2015-0247-CHN,2015,0247,Natural,Hydrological,Flood,Riverine flood,,,Affected,China,CHN,Eastern Asia,Asia,"Guizhou Sheng, Hunan Sheng, Jinagxi Sheng, Fujian Sheng, Guangdong Sheng, Hubei Sheng, Chongqing Shi provinces",Heavy seasonal Mei-Yu rains,,,,,,,,Km2,,,,,2015,6,1,2015,6,6,9,,60000,,60000,,,625000,92.70882199
2015-0255-CHN,2015,0255,Natural,Hydrological,Flood,Riverine flood,,,Kill,China,CHN,Eastern Asia,Asia,"Anhui Sheng, Jiangsu Sheng, Sichuan Sheng provinces",Mei-Yu rains,,,,,,,,Km2,,,,,2015,6,26,2015,7,2,35,,128700,16200,144900,,,645000,92.70882199
2015-0533-CHN,2015,0533,Natural,Hydrological,Flood,Riverine flood,,,Affected,China,CHN,Eastern Asia,Asia,Hunan Sheng province,,,,,,,,,Km2,,,,Xiangjiang river,2015,11,10,2015,11,16,38,,639000,,639000,,,130000,92.70882199
2015-0510-CHN,2015,0510,Natural,Hydrological,Landslide,Landslide,,,Kill,China,CHN,Eastern Asia,Asia,"Lindong village (Lishui district, Zhejiang Sheng province)",Flood,,,,,,,,,,,,,2015,11,13,2015,11,13,38,,300,,300,,,,92.70882199
2015-0244-CHN,2015,0244,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Chan-Home,Affected,China,CHN,Eastern Asia,Asia,Zhejiang Sheng province,,,,,,,,,Kph,,,,,2015,7,11,2015,7,12,,,10800,3000,13800,,,940000,92.70882199
2015-0278-CHN,2015,0278,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Linfa (Egay),Affected,China,CHN,Eastern Asia,Asia,Guangdong Sheng province,,,,,,,,,Kph,,,,,2015,7,9,2015,7,9,,,56000,,56000,,,213000,92.70882199
2015-0458-CHN,2015,0458,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Dujuan,Affected,China,CHN,Eastern Asia,Asia,"Fujian Sheng, Zhejiang Sheng provinces",,,,,,,,,Kph,,,,,2015,9,28,2015,9,28,,,,,,,79000,661000,92.70882199
2015-0490-CHN,2015,0490,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Mujigae,Kill,China,CHN,Eastern Asia,Asia,"Guangxi Zhuangzu Zizhiqu, Guangdong Sheng, Hainan Sheng provinces",,,,,,,,,Kph,,,,,2015,10,4,2015,10,4,20,,52500,25800,78300,,,4200000,92.70882199
2015-9328-CHN,2015,9328,Natural,Climatological,Drought,Drought,,,SigDam,China,CHN,Eastern Asia,Asia,"Hebei Sheng, Shanxi Sheng, Nei Mongol Zizhiqu, Liaoning Sheng, Jilin Sheng, Heilongjiang Sheng, Shandong Sheng, Yunnan Sheng, Shaanxi, Ningxia Huizu Zizhiqu provinces",,,,,,,,,Km2,,,,,2015,5,,2015,10,,,,,,,,444000,2464000,92.70882199
2015-0240-CHN,2015,0240,Natural,Hydrological,Flood,,,,Affected,China,CHN,Eastern Asia,Asia,"Jiangsu Sheng, Anhui Sheng, Hubei Sheng, Chongqing Shi, Sichuan Sheng, Guizhou Sheng, Zhejiang Sheng, Jiangxi Sheng, Hunan Sheng provinces",Seasonal rains,,,,,,,,Km2,,,,,2015,6,16,2015,6,17,15,,,2400,2400,,,200000,92.70882199
2015-0303-CHN,2015,0303,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Anhui Sheng, Fujian Sheng, Guangxi Zhuangzu Zizhiqu, Guangdong Sheng, Hainan Sheng provinces",,,,,,,,,Km2,,,,,2015,7,20,2015,7,29,28,,105300,23310,128610,,,1200000,92.70882199
2015-0395-CHN,2015,0395,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Chongqing Shi, Gansu Sheng, Guizhou Sheng, Hebei Sheng, Henan Sheng, Hubei Sheng, Nei Mongol Zizhiqu, Jiangsu Sheng, Qinghai Sheng, Shaanxi Sheng, Shandong Sheng, Sichuan Sheng, Yunnan Sheng provinces",Heavy rain,,,,,,,,Km2,,,,,2015,8,2,2015,8,4,19,,45000,,45000,,,418000,92.70882199
2015-0219-CHN,2015,0219,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Anhui Sheng, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Haina Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Shanghai Shi, Yunnan Sheng, Zhejiang Sheng provinces",Mei-Yu rains,,,,,,,,Km2,,,,,2015,5,13,2015,5,17,20,,60000,,60000,,,254000,92.70882199
2015-0220-CHN,2015,0220,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Guizhou Sheng, Chongqing Shi, Jiangsu Sheng, Fujian Sheng provinces",Mei-Yu rains,,,,,,,,Km2,,,,,2015,5,28,2015,6,1,17,,60000,,60000,,,500000,92.70882199
2015-0509-CMR,2015,0509,Natural,Biological,Epidemic,Viral disease,,Measles,Affected,Cameroon,CMR,Middle Africa,Africa,Mokolo district (Mayo-Tsanaga Division),,,,,,,,,Vaccinated,,,,,2015,1,1,2015,11,,,858,,,858,,,,92.70882199
2015-0287-CMR,2015,0287,Natural,Hydrological,Flood,,,,Affected,Cameroon,CMR,Middle Africa,Africa,"Douala V area (Douala city, Wouril district, Littoral province)",,,,,,,,4726,Km2,3.94741,9.88,,,2015,6,22,2015,6,29,4,,30000,,30000,,,,92.70882199
2015-0325-COL,2015,0325,Natural,Hydrological,Flood,Riverine flood,,,Affected,Colombia,COL,South America,Americas,"San Miguel, Puerto Asis, V/Guamuez",,,,,,,,,Km2,,,,,2015,7,22,2015,8,6,,,8105,,8105,,,,92.70882199
2015-0473-CPV,2015,0473,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Fred',Waiting,Cabo Verde,CPV,Western Africa,Africa,"Boa Vista, Brava, Cima, Fogo, Ilheu Branco, Ilheu Raso, Maio, Rombo, Sal, Santa Luzia, Santiago, Santo Antao, Sao Nicolau, Sao Vicente provinces",,,,,,,,140,Kph,,,,,2015,8,31,2015,8,31,9,,,,,,,1100,92.70882199
2015-0104-CRI,2015,0104,Natural,Geophysical,Volcanic activity,Ash fall,,Turrialba,Affected,Costa Rica,CRI,Central America,Americas,Turrialba district (Cartago province),,,,,,,,,,,,,,2015,3,12,2015,3,12,,,18450,,18450,,,,92.70882199
2015-9372-CUB,2015,9372,Natural,Climatological,Drought,Drought,,,SigDis,Cuba,CUB,Caribbean,Americas,"Camaguey, Ciego De Avila, Cienfuegos, Ciudad De La Habana, Granma, Guantanamo, Holguin, Isla De La Juventud, La Habana, Las Tunas, Matanzas, Pinar Del Rio, Sancti Spiritus, Santiago De Cuba, Villa Clara provinces",El Nino; long uninterrupted drought combined with heavy unseasonable rains,,,,,,,,Km2,,,,,2015,5,,2015,6,,,,100000,,100000,,,,92.70882199
2015-0060-DOM,2015,0060,Natural,Hydrological,Flood,Flash flood,,,Affected,Dominican Republic (the),DOM,Caribbean,Americas,"Espaillat, Puerto Plata, Duarte, Salcedo, Sanchez Ramirez, Maria Trinidad Sanches provinces",Heavy rains,,,,,,,,Km2,,,,,2015,2,20,2015,2,24,2,,20850,100,20950,,,,92.70882199
2015-0446-DOM,2015,0446,Natural,Hydrological,Flood,Riverine flood,,,Affected,Dominican Republic (the),DOM,Caribbean,Americas,Santiago district (Santiago province),,,,,,,,,Km2,,,,,2015,9,22,2015,9,29,,,,250,250,,,,92.70882199
2015-0375-DOM,2015,0375,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Erika,Affected,Dominican Republic (the),DOM,Caribbean,Americas,"Azua, Baoruco, Barahona, Dajabon, Distrito Nacional, Duarte, El Seibo, Elias Pina, Espaillat, Hato Mayor, Independencia, La Altagracia, La Romana, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Monte Plata, Pedernales, Peravia, Puerto Plata, Salcedo, Samana, San Cristobal, San José de Ocoa, San Juan, San Pedro de Macoris, Sanchez Ramirez, Santiago, Santiago Rodriguez, Santo Domingo, Valverde provinces",,,,,,,,,Kph,,,,,2015,8,28,2015,8,28,,,33,2100,2133,,,,92.70882199
2015-0437-DZA,2015,0437,Natural,Hydrological,Flood,Flash flood,,,Kill,Algeria,DZA,Northern Africa,Africa,"Adherdhi, Amsel villages (Tamanrasset district, Tamanrasset province)",Torrential rains,,,,,,,,Km2,,,,Oued Amsel,2015,9,16,2015,9,17,12,,,,,,,,92.70882199
2015-0482-DZA,2015,0482,Natural,Hydrological,Flood,,,,Affected,Algeria,DZA,Northern Africa,Africa,Tindouf province,Heavy rains,,,,,,,,Km2,283.337,-695.5,,,2015,10,16,2015,10,28,,,35000,,35000,,,,92.70882199
2015-0361-ECU,2015,0361,Natural,Geophysical,Volcanic activity,Lava flow,,Cotopaxi,Affected,Ecuador,ECU,South America,Americas,"Cotopaxi, Napo, Pichincha provinces",,,,,,Yes,,,,-0.677,-78.436,,,2015,8,14,2015,8,22,,,800000,,800000,,,,92.70882199
2015-0550-ECU,2015,0550,Natural,Geophysical,Volcanic activity,,,Tungurahua,Affected,Ecuador,ECU,South America,Americas,"Cotaló, Chacauco, Pillate, Chontapamba, Chonglontus, Cúsua, Juive, Bilbao, Pelileo, Quero, Mocha, Cevallos , Ambato; Tungurahua, Chimborazo provinces",,,,,,,,,,-1.467,-78.442,,,2015,11,17,2016,3,,,,130042,,130042,,,,92.70882199
2015-0342-EGY,2015,0342,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Egypt,EGY,Northern Africa,Africa,"Cairo, Qena provinces ; Marsa Matruh district (Matrouh province)",,,,,,,,47,°C,,,,,2015,8,9,2015,8,9,110,66,,,66,,,,92.70882199
2015-0447-ESP,2015,0447,Natural,Hydrological,Flood,Flash flood,,,Affected,Spain,ESP,Southern Europe,Europe,"Valencia/València, Alicante districts (Comunitat Valenciana province), Murcia district (Región de Murcia province), Almería, Granada districts (Andalucía province)",,,,,,,,,Km2,,,,,2015,9,7,2015,9,7,4,,150,,150,,,2000,92.70882199
2015-0532-ESP,2015,0532,Natural,Hydrological,Flood,Flash flood,,,Waiting,Spain,ESP,Southern Europe,Europe,"Agramunt municipality (Lleida district, Cataluña/Catalunya province)",,,,,,,,,Km2,,,,Sio river,2015,11,1,2015,11,3,4,,,,,,,,92.70882199
2015-0548-ETH,2015,0548,Natural,Hydrological,Flood,,,,Affected,Ethiopia,ETH,Eastern Africa,Africa,Shabelle district (Somali province),,,,,,,,,Km2,,,,"Wabishabelle, Genale/Dawa, and Omo River",2015,11,,2015,11,,,,210600,,210600,,,,92.70882199
2015-9483-FJI,2015,9483,Natural,Climatological,Drought,Drought,,,Affected,Fiji,FJI,Melanesia,Oceania,NO DATA: all country selected,El NIno,,,,,,,,Km2,,,,,2015,9,,2015,10,,,,67000,,67000,,,,92.70882199
2015-0451-FRA,2015,0451,Natural,Hydrological,Flood,Flash flood,,,Kill,France,FRA,Western Europe,Europe,"Cote d'Azur region (Alpes-maritimes, Var districts, Provence-Alpes-Cote-d'Azur province)",Torrential rain,,,,,,,2896,Km2,43.377,6.53,,,2015,10,3,2015,10,4,20,,,,,,652000,924000,92.70882199
2015-0434-FRA,2015,0434,Natural,Meteorological,Storm,Convective storm,,,Affected,France,FRA,Western Europe,Europe,"Aube, Ardennes districts (Champagne-Ardenne province), Ain district (Rhone-Alpes province)",,,,,,,,130,Kph,,,,,2015,9,16,2015,9,16,3,,750,,750,,,,92.70882199
2015-0410-FRA,2015,0410,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,,,,,,40,°C,,,,,2015,6,29,2015,8,9,3275,,,,,,,,92.70882199
2015-0105-FSM,2015,0105,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon' Maysak',Waiting,Micronesia (Federated States of),FSM,Micronesia,Oceania,"Chuuk, Ulithi Atoll, Yap areas (Micronesia province)",,,,Yes,,Yes,,260,Kph,,,,,2015,3,27,2015,3,30,5,,35000,,35000,,,11000,92.70882199
2015-0561-GBR,2015,0561,Natural,Hydrological,Flood,Riverine flood,,,Affected,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"York city (North Yorkshire district, England province) ; Lancashire, Greater Manchester districts (England province), Humberside, North Yorkshire, South Yorkshire, West Yorkshire district (Yorkshire, England province)","Heavy rains, Storms Eva ad Franck",,,,,,,,Km2,,,,"Calder, Ribble, Nidd, Irwell, Ouse, Foss, Aire rivers",2015,12,26,2015,12,26,,,48000,,48000,,1000000,1200000,92.70882199
2015-0580-GHA,2015,0580,Natural,Biological,Epidemic,Viral disease,,Meningitis,Kill,Ghana,GHA,Western Africa,Africa,,,,,,,,,,Vaccinated,,,,,2015,12,,2016,2,10,85,465,,,465,,,,92.70882199
2015-0217-GHA,2015,0217,Natural,Hydrological,Flood,,,,Kill,Ghana,GHA,Western Africa,Africa,"Accra Metropolis, Ledzokuku / Krowor, La Nkwantanang Madina, La Dade Kotopon, Shai Osu Doku, Kpone Katamanso, Ningo Prampram, Ada West, Ada East districts (Greater Accra province)",Torrential rain,,,,,,,266950,Km2,7.38005,-0.55,,,2015,6,2,2015,6,15,25,,,5000,5000,,,12000,92.70882199
2015-0428-GIN,2015,0428,Natural,Hydrological,Landslide,Landslide,,,Kill,Guinea,GIN,Western Africa,Africa,"Kolon Kola area (Boffa district, Boke province)",Heavy rains,,,,,,,,,,,,,2015,9,6,2015,9,7,7,12,480,,492,,,,92.70882199
2015-0480-GIN,2015,0480,Natural,Hydrological,Flood,,,,Affected,Guinea,GIN,Western Africa,Africa,"Coyah, Macenta districts (Nzerekore province), Siguiri district (Kankan province), Telemele, Forecariah, Beyla districts (Kindia province), Conakry province",Heavy rains,,,,,,,,Km2,,,,,2015,7,24,2015,8,3,9,29,29599,,29628,,,,92.70882199
2015-0038-GRC,2015,0038,Natural,Hydrological,Flood,Riverine flood,,,Waiting,Greece,GRC,Southern Europe,Europe,"Nafpaktos city (Aitolias Kai Akarnanias district, Dytiki Ellada province), Ioannina airport (Ioanninon district, Ipeiros province), Artis district (Ipeiros province), Evrytanias district (Sterea Ellada province), Thessalia, Anatoliki Makedonia Kai Thraki, Dytiki Makedonia provinces",,,,,,,,,Km2,,,,,2015,1,30,2015,2,1,,,,,,,,,92.70882199
2015-0384-GRC,2015,0384,Natural,Hydrological,Flood,,,,Affected,Greece,GRC,Southern Europe,Europe,Evrou district (Anatoliki Makedonia Kai Thraki province),Heavy rain,,,,,,,151105,Km2,41.4571,26.6,,,2015,2,1,2015,2,9,3,,500,,500,,,,92.70882199
2015-0446-GTM,2015,0446,Natural,Hydrological,Flood,Riverine flood,,,Affected,Guatemala,GTM,Central America,Americas,"El Progreso, Petén, Quiché, San Marcos provinces",,,,,,,,,Km2,,,,,2015,9,27,2015,9,28,2,,56845,,56845,,,,92.70882199
2015-0444-GTM,2015,0444,Natural,Hydrological,Landslide,Landslide,,,Kill,Guatemala,GTM,Central America,Americas,"El Cambray III village (Santa Catarina Pinula district, Guatemala province)",,,,,,,,,,148.262,-906.13,,,2015,10,1,2015,10,1,350,26,1086,,1112,,,5000,92.70882199
2015-0355-GTM,2015,0355,Natural,Biological,Epidemic,Viral disease,,Chikungunya,Affected,Guatemala,GTM,Central America,Americas,"Santa Rosa, Quetzaltenango, Zacapa, San Marcos, Retalhuleu, Jutiapa",,,,,No,No,,,Vaccinated,,,,,2015,1,,2015,7,,,15211,,,15211,,,,92.70882199
2015-0353-GTM,2015,0353,Natural,Hydrological,Flood,,,,Affected,Guatemala,GTM,Central America,Americas,"Livingston, El Estor (Izabel department)",,,,,No,No,,,Km2,,,,,2015,8,10,2015,8,10,6,,8291,,8291,,,,92.70882199
2015-0313-GUY,2015,0313,Natural,Hydrological,Flood,Coastal flood,,,Affected,Guyana,GUY,South America,Americas,"Barima Waini (region N°1), Demerara Mahaica (region N°4), Essequibo Islands/west Demerara (region N°3), Mahaica Berbice (region N°5), Pomeroon/supenaam (region N°2) provinces",Heavy rainfall,,,,,,,30931,Km2,6.66576,-58.74,,"Barima, Kaiturma",2015,7,15,2015,7,21,,,199000,,199000,,,,92.70882199
2015-0465-HRV,2015,0465,Natural,Hydrological,Flood,Flash flood,,,Affected,Croatia,HRV,Southern Europe,Europe,"Karlovac, Sisak-moslavina provinces",,,,,,,,,Km2,,,,"Korona, Kupa, Vojlovica rivers",2015,10,14,2015,10,16,,,1200,,1200,,,,92.70882199
2015-0116-HTI,2015,0116,Natural,Hydrological,Flood,Riverine flood,,,Affected,Haiti,HTI,Caribbean,Americas,"Cite Soleil, Tabarre, Delmas boroughs (Port-Au-Prince district, Ouest province), Grande Anse province",Heavy rains,,,,,,,3672,Km2,18.695,-72.19,,,2015,4,4,2015,4,6,6,,45000,,45000,,,,92.70882199
2015-0366-HTI,2015,0366,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Haiti,HTI,Caribbean,Americas,,,,,,No,No,,,Vaccinated,,,,,2015,,,2015,8,,170,,20000,,20000,,,,92.70882199
2015-0415-IDN,2015,0415,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Sorong district (Papua Barat province),,,,,,,,7,Richter,-0.621,131.262,12:53,,2015,9,24,2015,9,24,,62,12185,,12247,,,,92.70882199
2015-0036-IDN,2015,0036,Natural,Hydrological,Flood,Flash flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Pesisir Selatan district (Sumatera Barat province),Torrential rains,,,,,,,,Km2,,,,,2015,1,23,2015,1,25,1,,8244,15,8259,,,,92.70882199
2015-0056-IDN,2015,0056,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Gorontalo province,,,,,,,,,Km2,,,,,2015,2,5,2015,2,9,,,300,,300,,,,92.70882199
2015-0076-IDN,2015,0076,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Dki Jakarta, Jawa Barat, Jawa Timur, Jawa Tengah, Bali, Nusatenggara Barat provinces",Heavy rain,,,,,,,,Km2,,,,,2015,1,30,2015,2,2,2,,25000,,25000,,,,92.70882199
2015-0077-IDN,2015,0077,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Dki Jakarta, Jawa Barat, Jawa Timur, Jawa Tengah, Bali, Nusatenggara Barat provinces",,,,,,,,,Km2,,,,,2015,2,8,2015,2,13,6,,,,,,,235000,92.70882199
2015-0181-IDN,2015,0181,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Banten, Daerah Istimewa Yogyakarta, Jawa Barat, Jawa Tengah, Jawa Timur provinces",Torrential rains,,,,,,,,,,,,,2015,5,6,2015,5,6,13,,,,,,,,92.70882199
2015-0524-IDN,2015,0524,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Lebong Tandai (Bengkulu Utara district, Bengkulu province)",,,,,,,,,,,,,,2015,12,3,2015,12,3,20,,,105,105,,,,92.70882199
2015-0112-IDN,2015,0112,Natural,Hydrological,Landslide,Rockfall,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Cimerak hamlet (Tegalpanjang village, Sukabumi district, Jawa Barat province)",Heavy rains,,,,,,,,,,,,,2015,3,28,2015,3,28,12,,,55,55,,,,92.70882199
2015-0429-IDN,2015,0429,Natural,Climatological,Wildfire,Forest fire,,,Declar,Indonesia,IDN,South-Eastern Asia,Asia,"Jambi, Riau, Sumatera Selatan, Kalimantan Timur, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Barat provinces",,,,,,Yes,,,Km2,,,,,2015,9,,2015,12,,19,,409664,,409664,,,1000000,92.70882199
2015-0412-IDN,2015,0412,Natural,Hydrological,Flood,,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Aceh Jaya District (Nanggroe Aceh Darussalam Province),Heavy rains,,,,No,No,,,Km2,,,,,2015,7,15,2015,7,,,,25750,,25750,,,,92.70882199
2015-0118-IND,2015,0118,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Kill,India,IND,Southern Asia,Asia,Tripura province,,,,,,,,,Kph,,,,,2015,4,4,2015,4,5,1,,10000,,10000,,,3000,92.70882199
